ID,Name,Date,Year,Month,Day,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Max_Wind,group,Storms
AL022004,             BONNIE,20040809,2004,08,09,1200,  , Tropical Storm,22.5,-87.6,35,1008,25,25,25,25,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL022004,             BONNIE,20040809,2004,08,09,1800,  , Tropical Storm,22.9,-88.3,40,1007,25,25,25,25,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022004,             BONNIE,20040810,2004,08,10,0,  , Tropical Storm,23.1,-89,45,1006,25,25,25,25,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL022004,             BONNIE,20040810,2004,08,10,600,  , Tropical Storm,23.4,-89.8,45,1005,25,25,25,25,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL022004,             BONNIE,20040810,2004,08,10,1200,  , Tropical Storm,24,-90.6,50,1002,25,25,25,25,15,15,15,15,0,0,0,0,57.539,HU,LS
AL022004,             BONNIE,20040810,2004,08,10,1800,  , Tropical Storm,24.4,-90.6,45,1003,25,40,40,25,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL022004,             BONNIE,20040811,2004,08,11,0,  , Tropical Storm,24.7,-90.6,40,1003,25,25,25,25,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022004,             BONNIE,20040811,2004,08,11,600,  , Tropical Storm,25.2,-90.6,40,1003,35,45,25,25,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022004,             BONNIE,20040811,2004,08,11,1200,  , Tropical Storm,25.7,-90.4,45,1001,45,60,25,25,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL022004,             BONNIE,20040811,2004,08,11,1800,  , Tropical Storm,26.4,-89.6,55,1001,45,60,25,25,15,15,15,15,0,0,0,0,63.2929,HU,LS
AL022004,             BONNIE,20040812,2004,08,12,0,  , Tropical Storm,27,-88.8,50,1007,45,60,25,25,15,15,15,15,0,0,0,0,57.539,HU,LS
AL022004,             BONNIE,20040812,2004,08,12,600,  , Tropical Storm,27.7,-88.1,45,1008,45,60,25,25,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL022004,             BONNIE,20040812,2004,08,12,1200,  , Tropical Storm,29,-86.1,45,1002,45,60,25,25,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL062004,            FRANCES,20040906,2004,09,06,600,  , Tropical Storm,28.6,-83.3,55,981,175,125,125,125,60,0,0,45,0,0,0,0,63.2929,HU,LS
AL092004,               IVAN,20040913,2004,09,13,600,  , Hurricane,19.9,-83.5,140,920,175,150,125,125,125,90,60,75,90,75,40,50,161.1092,HU,HU
AL092004,               IVAN,20040913,2004,09,13,1200,  , Hurricane,20.4,-84.1,140,915,180,150,125,125,125,90,60,75,90,75,40,50,161.1092,HU,HU
AL092004,               IVAN,20040913,2004,09,13,1800,  , Hurricane,20.9,-84.7,140,912,190,175,140,150,125,110,90,100,100,85,70,75,161.1092,HU,HU
AL092004,               IVAN,20040914,2004,09,14,0,  , Hurricane,21.6,-85.1,140,914,175,175,125,150,125,110,70,100,85,85,50,75,161.1092,HU,HU
AL092004,               IVAN,20040914,2004,09,14,600,  , Hurricane,22.4,-85.6,140,924,175,175,125,150,125,110,70,100,85,85,50,75,161.1092,HU,HU
AL092004,               IVAN,20040914,2004,09,14,1200,  , Hurricane,23,-86,125,930,225,175,150,200,125,110,70,100,85,85,50,75,143.8475,HU,HU
AL092004,               IVAN,20040914,2004,09,14,1800,  , Hurricane,23.7,-86.5,120,931,225,175,150,200,175,125,75,125,90,90,60,75,138.0936,HU,HU
AL092004,               IVAN,20040915,2004,09,15,0,  , Hurricane,24.7,-87,120,928,225,175,150,200,175,125,75,125,90,90,60,75,138.0936,HU,HU
AL092004,               IVAN,20040915,2004,09,15,600,  , Hurricane,25.6,-87.4,120,935,225,175,150,200,175,125,75,125,90,90,60,75,138.0936,HU,HU
AL092004,               IVAN,20040915,2004,09,15,1200,  , Hurricane,26.7,-87.9,115,939,225,250,150,175,150,100,90,100,90,90,75,75,132.3397,HU,HU
AL092004,               IVAN,20040915,2004,09,15,1800,  , Hurricane,27.9,-88.2,115,937,225,250,125,150,125,100,100,100,90,90,75,75,132.3397,HU,HU
AL092004,               IVAN,20040916,2004,09,16,0,  , Hurricane,28.9,-88.2,110,931,225,250,125,150,125,125,100,100,90,90,75,75,126.5858,HU,HU
AL092004,               IVAN,20040923,2004,09,23,1200,  , Tropical Storm,28.9,-92.2,50,998,60,60,20,40,20,0,0,20,0,0,0,0,57.539,HU,LS
AL022005,               BRET,20050629,2005,06,29,0,  , Tropical Storm,20,-95.8,35,1005,20,30,30,20,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL022005,               BRET,20050629,2005,06,29,600,  , Tropical Storm,20.4,-96.4,35,1005,30,30,30,30,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL022005,               BRET,20050629,2005,06,29,1200, Landfall, Tropical Storm,20.8,-97.3,35,1005,30,30,30,30,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL032005,              CINDY,20050705,2005,07,05,1800,  , Tropical Storm,27.6,-90.5,60,997,90,90,30,60,30,30,0,25,0,0,0,0,69.0468,HU,LS
AL032005,              CINDY,20050706,2005,07,06,0,  , Hurricane,28.5,-90.3,65,992,90,90,40,60,30,30,20,25,20,20,0,0,74.8007,HU,HU
AL042005,             DENNIS,20050709,2005,07,09,1200,  , Hurricane,24.3,-83.4,80,967,175,150,75,140,90,75,30,55,45,25,15,25,92.0624,HU,HU
AL042005,             DENNIS,20050709,2005,07,09,1800,  , Hurricane,25.2,-84.2,90,962,175,175,80,150,100,75,30,55,35,25,15,25,103.5702,HU,HU
AL042005,             DENNIS,20050710,2005,07,10,0,  , Hurricane,26.1,-85,110,942,175,200,80,150,100,75,30,55,35,25,15,25,126.5858,HU,HU
AL042005,             DENNIS,20050710,2005,07,10,600,  , Hurricane,27.2,-85.8,125,935,175,200,90,150,100,75,30,60,35,25,15,25,143.8475,HU,HU
AL042005,             DENNIS,20050710,2005,07,10,1200,  , Hurricane,28.5,-86.3,120,930,175,200,90,115,100,75,30,50,25,25,15,25,138.0936,HU,HU
AL052005,              EMILY,20050717,2005,07,17,1800,  , Hurricane,18.9,-84.3,125,948,130,80,50,110,90,35,25,60,50,25,15,35,143.8475,HU,HU
AL052005,              EMILY,20050718,2005,07,18,0,  , Hurricane,19.5,-85.8,120,951,130,100,50,110,100,40,25,60,50,25,15,40,138.0936,HU,HU
AL052005,              EMILY,20050718,2005,07,18,600,  , Hurricane,20.3,-87.3,115,955,130,125,50,110,100,40,25,50,50,25,15,20,132.3397,HU,HU
AL052005,              EMILY,20050718,2005,07,18,1200,  , Hurricane,21.3,-88.9,65,975,120,125,50,90,50,30,25,50,30,0,0,0,74.8007,HU,HU
AL052005,              EMILY,20050718,2005,07,18,1800,  , Hurricane,22,-90.3,65,984,100,75,50,75,50,30,30,50,30,0,0,0,74.8007,HU,HU
AL052005,              EMILY,20050719,2005,07,19,0,  , Hurricane,22.6,-91.5,75,981,125,75,50,90,75,50,30,60,30,30,0,0,86.3085,HU,HU
AL052005,              EMILY,20050719,2005,07,19,600,  , Hurricane,23.2,-92.8,80,980,125,75,50,105,75,50,30,60,35,30,0,20,92.0624,HU,HU
AL052005,              EMILY,20050719,2005,07,19,1200,  , Hurricane,23.7,-94,80,977,125,100,50,105,75,50,30,60,35,30,10,25,92.0624,HU,HU
AL052005,              EMILY,20050719,2005,07,19,1800,  , Hurricane,24.1,-95.1,85,959,140,110,70,110,90,60,40,70,50,35,20,35,97.8163,HU,HU
AL052005,              EMILY,20050720,2005,07,20,0,  , Hurricane,24.4,-96.1,110,948,140,110,90,110,100,60,40,75,60,35,25,50,126.5858,HU,HU
AL052005,              EMILY,20050720,2005,07,20,600,  , Hurricane,24.6,-96.9,110,944,140,110,90,110,100,60,45,75,60,35,25,50,126.5858,HU,HU
AL052005,              EMILY,20050720,2005,07,20,1200, Landfall, Hurricane,24.8,-97.6,110,944,140,110,75,90,100,60,40,65,60,35,25,40,126.5858,HU,HU
AL052005,              EMILY,20050720,2005,07,20,1800,  , Tropical Storm,25,-98.7,70,975,140,110,50,60,80,60,20,35,60,20,0,15,80.5546,HU,HU
AL052005,              EMILY,20050721,2005,07,21,0,  , Tropical Storm,25,-99.7,45,995,90,60,30,30,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL072005,               GERT,20050724,2005,07,24,1200,  , Tropical Storm,21,-95.8,35,1008,50,50,50,50,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL072005,               GERT,20050724,2005,07,24,1800,  , Tropical Storm,21.4,-96.6,35,1007,75,75,75,75,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL072005,               GERT,20050725,2005,07,25,0, Landfall, Tropical Storm,21.8,-97.6,40,1005,75,75,50,75,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL112005,               JOSE,20050823,2005,08,23,0,  , Tropical Storm,19.7,-95.7,45,1001,20,30,40,40,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL112005,               JOSE,20050823,2005,08,23,600,  , Tropical Storm,19.7,-96.7,35,1002,20,20,20,20,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL122005,            KATRINA,20050827,2005,08,27,0,  , Hurricane,24.6,-83.3,90,959,90,75,75,75,60,60,40,30,25,25,20,15,103.5702,HU,HU
AL122005,            KATRINA,20050827,2005,08,27,600,  , Hurricane,24.4,-84,95,950,130,90,90,130,60,60,45,60,35,30,30,25,109.3241,HU,HU
AL122005,            KATRINA,20050827,2005,08,27,1200,  , Hurricane,24.4,-84.7,100,942,130,90,90,130,60,60,45,60,35,30,30,25,115.078,HU,HU
AL122005,            KATRINA,20050827,2005,08,27,1800,  , Hurricane,24.5,-85.3,100,948,140,90,90,130,70,70,60,70,45,35,35,35,115.078,HU,HU
AL122005,            KATRINA,20050828,2005,08,28,0,  , Hurricane,24.8,-85.9,100,941,140,100,100,140,80,80,65,80,60,45,45,50,115.078,HU,HU
AL122005,            KATRINA,20050828,2005,08,28,600,  , Hurricane,25.2,-86.7,125,930,160,160,125,140,100,100,75,100,75,75,50,75,143.8475,HU,HU
AL122005,            KATRINA,20050828,2005,08,28,1200,  , Hurricane,25.7,-87.7,145,909,180,180,125,140,120,120,75,100,90,90,50,75,166.8631,HU,HU
AL122005,            KATRINA,20050828,2005,08,28,1800,  , Hurricane,26.3,-88.6,150,902,200,180,125,180,120,120,75,120,90,90,50,90,172.617,HU,HU
AL122005,            KATRINA,20050829,2005,08,29,0,  , Hurricane,27.2,-89.2,140,905,200,200,150,180,120,120,75,100,90,90,60,80,161.1092,HU,HU
AL122005,            KATRINA,20050829,2005,08,29,600,  , Hurricane,28.2,-89.6,125,913,200,200,150,150,120,120,75,100,90,90,60,70,143.8475,HU,HU
AL182005,               RITA,20050921,2005,09,21,600,  , Hurricane,24.2,-84,110,955,120,100,60,105,60,45,40,60,40,30,25,40,126.5858,HU,HU
AL182005,               RITA,20050921,2005,09,21,1200,  , Hurricane,24.2,-85.2,120,941,135,115,80,125,75,50,40,60,50,40,30,40,138.0936,HU,HU
AL182005,               RITA,20050921,2005,09,21,1800,  , Hurricane,24.3,-86.2,145,920,150,125,100,150,90,60,50,75,60,50,40,50,166.8631,HU,HU
AL182005,               RITA,20050922,2005,09,22,0,  , Hurricane,24.5,-86.9,150,897,160,140,100,160,90,80,60,90,60,60,40,50,172.617,HU,HU
AL182005,               RITA,20050922,2005,09,22,600,  , Hurricane,24.8,-87.6,155,897,160,140,100,160,100,80,60,90,60,60,40,50,178.3709,HU,HU
AL182005,               RITA,20050922,2005,09,22,1200,  , Hurricane,25.2,-88.3,140,908,160,140,100,160,100,80,60,90,75,75,40,75,161.1092,HU,HU
AL182005,               RITA,20050922,2005,09,22,1800,  , Hurricane,25.6,-89.1,125,913,180,140,100,140,120,90,50,80,70,60,40,50,143.8475,HU,HU
AL182005,               RITA,20050923,2005,09,23,0,  , Hurricane,26,-89.9,120,915,180,150,100,140,120,100,50,80,70,60,40,50,138.0936,HU,HU
AL182005,               RITA,20050923,2005,09,23,600,  , Hurricane,26.5,-90.7,115,924,180,150,120,140,120,100,80,100,75,60,40,50,132.3397,HU,HU
AL182005,               RITA,20050923,2005,09,23,1200,  , Hurricane,27.1,-91.5,115,927,180,150,120,160,120,100,80,120,75,60,40,60,132.3397,HU,HU
AL182005,               RITA,20050923,2005,09,23,1800,  , Hurricane,27.8,-92.3,110,930,180,150,120,160,120,100,80,120,75,60,40,60,126.5858,HU,HU
AL182005,               RITA,20050924,2005,09,24,0,  , Hurricane,28.6,-93,105,931,180,160,120,120,120,100,80,90,75,60,40,60,120.8319,HU,HU
AL202005,               STAN,20051004,2005,10,04,600,  , Hurricane,19.2,-94.1,65,987,90,75,75,75,45,30,30,30,15,0,15,15,74.8007,HU,HU
AL202005,               STAN,20051004,2005,10,04,1200, Landfall, Hurricane,18.6,-94.9,70,977,90,75,75,75,45,30,30,30,15,15,15,15,80.5546,HU,HU
AL252005,              WILMA,20051020,2005,10,20,600,  , Hurricane,18.1,-84.7,130,901,200,200,110,150,75,75,60,75,60,40,40,60,149.6014,HU,HU
AL252005,              WILMA,20051020,2005,10,20,1200,  , Hurricane,18.3,-85.2,130,910,200,150,110,175,110,85,60,110,75,75,45,75,149.6014,HU,HU
AL252005,              WILMA,20051020,2005,10,20,1800,  , Hurricane,18.6,-85.5,130,917,175,150,120,175,110,90,75,110,75,75,60,75,149.6014,HU,HU
AL252005,              WILMA,20051021,2005,10,21,0,  , Hurricane,19.1,-85.8,130,924,175,150,120,175,110,90,75,110,75,75,60,75,149.6014,HU,HU
AL252005,              WILMA,20051021,2005,10,21,600,  , Hurricane,19.5,-86.1,130,930,175,150,120,175,110,90,75,110,75,75,60,75,149.6014,HU,HU
AL252005,              WILMA,20051021,2005,10,21,1200,  , Hurricane,20.1,-86.4,125,929,175,175,120,150,100,90,75,100,75,75,60,75,143.8475,HU,HU
AL252005,              WILMA,20051021,2005,10,21,1800,  , Hurricane,20.3,-86.7,120,926,175,175,120,150,100,100,75,100,75,75,60,75,138.0936,HU,HU
AL252005,              WILMA,20051022,2005,10,22,0,  , Hurricane,20.6,-86.8,120,930,175,175,120,150,100,100,75,100,75,75,60,75,138.0936,HU,HU
AL252005,              WILMA,20051022,2005,10,22,600,  , Hurricane,20.8,-87,110,935,175,175,120,150,100,100,75,100,75,75,60,75,126.5858,HU,HU
AL252005,              WILMA,20051022,2005,10,22,1200,  , Hurricane,21,-87.1,100,947,175,175,120,150,100,100,75,100,75,75,60,75,115.078,HU,HU
AL252005,              WILMA,20051022,2005,10,22,1800,  , Hurricane,21.3,-87.1,85,958,175,175,120,150,100,100,75,100,75,75,50,75,97.8163,HU,HU
AL252005,              WILMA,20051023,2005,10,23,0,  , Hurricane,21.6,-87,85,960,175,175,120,150,100,100,75,90,60,60,50,60,97.8163,HU,HU
AL252005,              WILMA,20051023,2005,10,23,600,  , Hurricane,21.8,-86.8,85,962,175,175,125,175,100,100,75,90,60,60,40,40,97.8163,HU,HU
AL252005,              WILMA,20051023,2005,10,23,1200,  , Hurricane,22.4,-86.1,85,961,200,200,125,175,100,100,75,90,60,60,40,40,97.8163,HU,HU
AL252005,              WILMA,20051023,2005,10,23,1800,  , Hurricane,23.1,-85.4,90,963,200,200,150,150,125,125,90,90,65,75,50,50,103.5702,HU,HU
AL252005,              WILMA,20051024,2005,10,24,0,  , Hurricane,24,-84.3,95,958,200,200,150,150,125,125,90,90,65,75,50,50,109.3241,HU,HU
AL252005,              WILMA,20051024,2005,10,24,600,  , Hurricane,25,-83.1,110,953,200,200,175,150,125,125,100,90,75,80,75,50,126.5858,HU,HU
AL012006,            ALBERTO,20060613,2006,06,13,600,  , Tropical Storm,28.8,-84.4,55,995,90,150,30,60,30,50,0,30,0,0,0,0,63.2929,HU,LS
AL022007,              BARRY,20070601,2007,06,01,1800,  , Tropical Storm,23.6,-85.7,40,1000,80,40,30,30,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL022007,              BARRY,20070602,2007,06,02,0,  , Tropical Storm,24.3,-85.2,50,997,80,40,30,50,20,0,0,20,0,0,0,0,57.539,HU,LS
AL022007,              BARRY,20070602,2007,06,02,600,  , Tropical Storm,25.1,-84.6,45,998,80,40,30,80,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL022007,              BARRY,20070602,2007,06,02,1200,  , Tropical Storm,27,-83.2,40,1000,80,40,30,80,0,0,0,0,0,0,0,0,46.0312,LS,TS
AL042007,               DEAN,20070820,2007,08,20,1800,  , Hurricane,18,-83.3,135,924,150,150,85,120,90,75,50,75,50,40,30,50,155.3553,HU,HU
AL042007,               DEAN,20070821,2007,08,21,0,  , Hurricane,18.2,-85.1,145,914,150,150,90,125,100,75,50,100,50,40,30,50,166.8631,HU,HU
AL042007,               DEAN,20070821,2007,08,21,600,  , Hurricane,18.6,-86.9,150,907,180,180,90,125,100,75,50,100,50,40,30,50,172.617,HU,HU
AL042007,               DEAN,20070821,2007,08,21,1200,  , Hurricane,18.9,-88.7,110,935,210,210,75,90,60,60,40,60,40,40,20,30,126.5858,HU,HU
AL042007,               DEAN,20070821,2007,08,21,1800,  , Hurricane,19.2,-90.5,75,960,175,120,60,120,60,60,40,60,30,30,20,30,86.3085,HU,HU
AL042007,               DEAN,20070822,2007,08,22,0,  , Hurricane,19.7,-92.2,65,979,175,100,75,120,75,60,60,60,30,30,20,30,74.8007,HU,HU
AL042007,               DEAN,20070822,2007,08,22,600,  , Hurricane,20.1,-94,70,979,175,100,100,160,100,70,80,80,60,0,0,60,80.5546,HU,HU
AL042007,               DEAN,20070822,2007,08,22,1200,  , Hurricane,20.5,-95.5,80,976,200,120,90,160,140,75,75,90,60,0,0,60,92.0624,HU,HU
AL042007,               DEAN,20070822,2007,08,22,1800,  , Hurricane,20.5,-97.3,75,974,240,100,50,75,75,30,0,30,30,0,0,20,86.3085,HU,HU
AL092007,           HurricaneMBERTO,20070912,2007,09,12,1800,  , Tropical Storm,28.3,-95,45,1001,30,50,10,20,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL092007,           HurricaneMBERTO,20070913,2007,09,13,0,  , Tropical Storm,28.8,-94.8,55,997,50,50,20,20,25,25,0,0,0,0,0,0,63.2929,HU,LS
AL132007,            LORENZO,20070927,2007,09,27,1800,  , Tropical Storm,20.5,-95.7,60,1001,30,30,60,30,0,20,30,0,0,0,0,0,69.0468,HU,LS
AL132007,            LORENZO,20070928,2007,09,28,0,  , Hurricane,20.5,-96.3,70,990,40,40,60,40,15,30,30,15,10,20,20,10,80.5546,HU,HU
AL132007,            LORENZO,20070928,2007,09,28,600,  , Hurricane,20.5,-97.1,65,993,40,40,60,40,15,30,30,15,10,20,20,10,74.8007,HU,HU
AL042008,              DOLLY,20080722,2008,07,22,0,  , Tropical Storm,23,-92,45,1000,150,120,30,120,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL042008,              DOLLY,20080722,2008,07,22,600,  , Tropical Storm,23.2,-93.3,45,999,140,120,30,120,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL042008,              DOLLY,20080722,2008,07,22,1200,  , Tropical Storm,23.7,-94.1,55,993,140,120,60,120,50,30,20,40,0,0,0,0,63.2929,HU,LS
AL042008,              DOLLY,20080722,2008,07,22,1800,  , Tropical Storm,24.3,-94.9,60,990,140,120,100,120,50,30,25,40,0,0,0,0,69.0468,HU,LS
AL042008,              DOLLY,20080723,2008,07,23,0,  , Hurricane,24.9,-95.7,65,982,120,120,100,100,40,40,30,40,20,0,20,20,74.8007,HU,HU
AL042008,              DOLLY,20080723,2008,07,23,600,  , Hurricane,25.4,-96.2,70,982,120,120,100,100,40,40,30,40,20,0,20,20,80.5546,HU,HU
AL042008,              DOLLY,20080723,2008,07,23,1200,  , Hurricane,25.9,-96.7,85,967,120,120,100,100,50,50,50,40,20,20,20,20,97.8163,HU,HU
AL042008,              DOLLY,20080723,2008,07,23,1400, I, Hurricane,26,-96.8,85,963,120,120,100,100,50,50,50,40,20,20,20,20,97.8163,HU,HU
AL042008,              DOLLY,20080723,2008,07,23,1800,  , Hurricane,26.4,-97.2,75,967,120,120,45,45,40,40,30,30,30,20,20,20,86.3085,HU,HU
AL042008,              DOLLY,20080723,2008,07,23,1820, Landfall, Hurricane,26.4,-97.2,75,967,120,120,45,45,40,40,30,30,30,20,20,20,86.3085,HU,HU
AL042008,              DOLLY,20080723,2008,07,23,2000, Landfall, Hurricane,26.4,-97.4,70,967,120,120,45,45,40,40,30,30,30,20,20,20,80.5546,HU,HU
AL042008,              DOLLY,20080724,2008,07,24,0,  , Hurricane,26.5,-97.8,65,976,100,100,45,45,30,30,25,25,15,15,15,15,74.8007,HU,HU
AL042008,              DOLLY,20080724,2008,07,24,600,  , Tropical Storm,26.7,-98.3,55,986,75,75,40,40,20,20,20,20,0,0,0,0,63.2929,HU,LS
AL042008,              DOLLY,20080724,2008,07,24,1200,  , Tropical Storm,27.2,-98.9,45,992,75,75,40,40,0,0,0,0,0,0,0,0,51.7851,LS,TS
AL042008,              DOLLY,20080724,2008,07,24,1800,  , Tropical Storm,27.9,-100,35,995,75,75,40,40,0,0,0,0,0,0,0,0,40.2773,LS,TS
AL052008,            EDOUARD,20080805,2008,08,05,0,  , Tropical Storm,28.5,-91.7,50,999,60,60,45,60,30,0,0,0,0,0,0,0,57.539,HU,LS
AL052008,            EDOUARD,20080805,2008,08,05,600,  , Tropical Storm,29,-92.9,55,997,60,60,45,60,30,0,0,0,0,0,0,0,63.2929,HU,LS
AL072008,             GUSTAV,20080830,2008,08,30,2200, Landfall, Hurricane,22.4,-83.1,135,941,155,120,95,125,100,90,50,65,60,45,20,30,155.3553,HU,HU
AL072008,             GUSTAV,20080831,2008,08,31,0,  , Hurricane,22.7,-83.5,120,950,160,120,100,135,100,90,60,75,60,40,30,35,138.0936,HU,HU
AL072008,             GUSTAV,20080831,2008,08,31,600,  , Hurricane,23.6,-84.4,105,960,175,135,120,135,120,75,60,75,45,30,30,30,120.8319,HU,HU
AL072008,             GUSTAV,20080831,2008,08,31,1200,  , Hurricane,24.8,-85.5,100,961,190,150,120,150,120,90,60,90,45,30,25,30,115.078,HU,HU
AL072008,             GUSTAV,20080831,2008,08,31,1800,  , Hurricane,25.9,-86.7,95,960,200,175,130,165,120,90,60,90,60,40,25,40,109.3241,HU,HU
AL072008,             GUSTAV,20080901,2008,09,01,0,  , Hurricane,26.9,-87.7,95,953,200,180,140,180,130,90,60,120,70,40,30,60,109.3241,HU,HU
AL072008,             GUSTAV,20080901,2008,09,01,600,  , Hurricane,27.9,-89,95,954,220,200,140,160,130,100,60,100,70,40,30,50,109.3241,HU,HU
AL072008,             GUSTAV,20080901,2008,09,01,1200,  , Hurricane,28.8,-90.3,95,955,200,200,140,150,130,100,60,90,70,50,40,40,109.3241,HU,HU
AL092008,                IKE,20080909,2008,09,09,1800,  , Hurricane,22.7,-83.3,65,966,155,150,105,170,100,75,30,90,20,0,0,30,74.8007,HU,HU
AL092008,                IKE,20080910,2008,09,10,0,  , Hurricane,23.1,-84,65,968,160,150,110,180,100,75,30,90,30,0,0,20,74.8007,HU,HU
AL092008,                IKE,20080910,2008,09,10,600,  , Hurricane,23.4,-84.6,70,964,170,150,115,180,110,75,45,90,45,0,0,20,80.5546,HU,HU
AL092008,                IKE,20080910,2008,09,10,1200,  , Hurricane,23.8,-85.2,80,959,180,155,120,180,120,80,60,100,75,20,15,45,92.0624,HU,HU
AL092008,                IKE,20080910,2008,09,10,1800,  , Hurricane,24.2,-85.8,85,958,195,160,120,180,130,90,75,110,90,40,30,60,97.8163,HU,HU
AL092008,                IKE,20080911,2008,09,11,0,  , Hurricane,24.7,-86.4,85,944,210,170,120,180,140,105,90,125,100,60,30,75,97.8163,HU,HU
AL092008,                IKE,20080911,2008,09,11,600,  , Hurricane,25.1,-87.1,85,945,220,190,130,180,150,120,90,140,100,75,30,75,97.8163,HU,HU
